id,tag,donor,distSpatial,donors,distSpatials
cat-10138,hlr,cat-8266,65,"cat-8266,cat-8965","65,82"
cat-10146,hlr,cat-8266,93,"cat-8266,cat-8965","93,106"
cat-10212,hlr,cat-8266,84,"cat-8266,cat-8965","84,96"
cat-10220,hlr,cat-8266,73,"cat-8266,cat-8965","73,88"
cat-10231,hlr,cat-8266,78,"cat-8266,cat-8965","78,92"
cat-10242,hlr,cat-8266,92,"cat-8266,cat-8965","92,106"
cat-10653,hlr,cat-8266,42,"cat-8266,cat-8965","42,57"
cat-10655,hlr,cat-8266,44,"cat-8266,cat-8965","44,59"
cat-10659,hlr,cat-8266,26,"cat-8266,cat-8965","26,31"
cat-10748,hlr,cat-8266,81,"cat-8266,cat-8965","81,82"
cat-10756,hlr,cat-8266,88,"cat-8266,cat-8965","88,88"
cat-10757,hlr,cat-8266,93,"cat-8266,cat-8965","93,93"
cat-10877,hlr,cat-8266,26,"cat-8266,cat-8965","26,34"
cat-10879,hlr,cat-8266,32,"cat-8266,cat-8965","32,38"
cat-10912,hlr,cat-8965,65,"cat-8965,cat-8266","65,70"
cat-10928,hlr,cat-8965,42,"cat-8965,cat-8266","42,51"
cat-10931,hlr,cat-8266,54,"cat-8266,cat-8965","54,62"
cat-10955,hlr,cat-8965,90,"cat-8965,cat-8266","90,91"
cat-11231,hlr,cat-8965,66,"cat-8965,cat-8266","66,79"
cat-11243,hlr,cat-8965,67,"cat-8965,cat-8266","67,70"
cat-11244,hlr,cat-8965,71,"cat-8965,cat-8266","71,73"
cat-11316,hlr,cat-8266,41,"cat-8266,cat-8965","41,53"
cat-11322,hlr,cat-8266,50,"cat-8266,cat-8965","50,52"
cat-11345,hlr,cat-8266,55,"cat-8266,cat-8965","55,55"
cat-11361,hlr,cat-8266,32,"cat-8266,cat-8965","32,33"
cat-11366,hlr,cat-8266,32,"cat-8266,cat-8965","32,36"
cat-11381,hlr,cat-8266,29,"cat-8266,cat-8965","29,34"
cat-11386,hlr,cat-8266,44,"cat-8266,cat-8965","44,58"
cat-11387,hlr,cat-8266,47,"cat-8266,cat-8965","47,62"
cat-11396,hlr,cat-8266,50,"cat-8266,cat-8965","50,67"
cat-11447,hlr,cat-8266,15,"cat-8266,cat-8965","15,24"
cat-11790,hlr,cat-8965,87,"cat-8965,cat-8266","87,105"
cat-11960,hlr,cat-8266,46,"cat-8266,cat-8965","46,62"
