,reg_algorithm,reg_scenario,prcFlatLowland,prcFlatUpland,prcFlatTotal,relief,cidx,aridity,sand_frac,clay_frac,soil_depth,forest_frac,cropland_frac,urban_frac,slope,elev_mean,p_mean,pet_mean,snow_frac,high_prec_freq,low_prec_freq,high_prec_dur,low_prec_dur,gvf_max,gvf_diff,lai_max,lai_diff,geo_porosity,geo_permeability,soil_porosity,soil_conductivity
25%,hdbscan,hlr,2.0,0.0,2.0,40.56,0.05,0.04,0.04,0.01,0.0,0.05,0.0,0.01,,,,,,,,,,,,,,,,,
50%,hdbscan,hlr,6.0,1.0,5.0,108.285,0.1,0.1,0.12,0.02,0.1,0.12,0.02,0.03,,,,,,,,,,,,,,,,,
75%,hdbscan,hlr,14.0,4.0,12.0,268.1675,0.17,0.18,0.22,0.05,0.43,0.23,0.08,0.07,,,,,,,,,,,,,,,,,
max,hdbscan,hlr,88.0,74.0,90.0,1232.95,0.64,0.55,0.73,0.25,1.48,0.52,0.89,0.92,,,,,,,,,,,,,,,,,
count,hdbscan,camels,,,,,,14632.0,14266.0,14266.0,14436.0,14632.0,,,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14623.0,14623.0,14301.0,14301.0
mean,hdbscan,camels,,,,,,0.0932893657736468,0.13825739520538344,0.03243586148885463,0.21553685231366032,0.16321897211591035,,,0.05253485511208311,132.32325929469656,88.79577159650081,64.96996992892291,0.025520776380535817,1.4447990705303444,5.517562192454894,0.023547020229633682,0.1493678239475123,0.07786700382722798,0.09425779114270096,0.6783823127392018,0.6726148168398032,0.06331327361006633,0.6567161321206318,0.02610796447800853,1.0657450527935108
std,hdbscan,camels,,,,,,0.0848822826142498,0.10315060633917383,0.03733128075067832,0.2642278015229461,0.1359594903255819,,,0.0444777578896043,129.0393759932464,73.19900107204117,57.67575329215411,0.024149580125045682,0.9943772691101204,4.979959234924053,0.01935624048014986,0.11843148584311187,0.1437958823168096,0.13060563530726668,0.8197290890680439,0.7252414678809911,0.06818542825077442,0.7470845494840064,0.03378331746084976,1.0532961711827047
min,hdbscan,camels,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,hdbscan,camels,,,,,,0.03,0.05,0.01,0.0,0.05,,,0.02,38.955,32.8875,23.26,0.01,0.58,1.79,0.01,0.06,0.0,0.02,0.17,0.16,0.0,0.02,0.01,0.41
50%,hdbscan,camels,,,,,,0.07,0.12,0.02,0.11,0.13,,,0.04,92.33,70.64,48.56,0.02,1.33,4.0,0.02,0.13,0.03,0.05,0.4,0.45,0.04,0.44,0.02,0.96
75%,hdbscan,camels,,,,,,0.13,0.2,0.04,0.36,0.24,,,0.07,181.43,127.6475,88.13,0.04,2.13,8.25,0.03,0.21,0.08,0.11,0.81,0.9,0.11,1.1,0.03,1.32
max,hdbscan,camels,,,,,,0.56,0.73,0.25,1.48,0.92,,,0.35,1125.69,502.14,454.92,0.14,6.21,45.13,0.14,1.09,0.99,0.97,5.14,4.3,0.26,7.06,0.42,27.31
count,birch,camels,,,,,,14632.0,14266.0,14266.0,14436.0,14632.0,,,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14632.0,14623.0,14623.0,14301.0,14301.0
mean,birch,camels,,,,,,0.0883372061235648,0.07170475255853077,0.02627015281087901,0.19656760875588805,0.1579127938764352,,,0.041459814106068894,83.89679127938766,82.36582080371788,54.72187465828321,0.0212547840349918,1.533285265172225,5.481395571350465,0.02216375068343357,0.13487083105522144,0.07414229086932751,0.0922901858939311,0.6543965281574631,0.6416293056314926,0.06367913560828832,0.7120057443752992,0.018893783651492906,0.6005258373540311
std,birch,camels,,,,,,0.08876419149223984,0.06638539002112083,0.03257393093550021,0.2597449156373146,0.13190974786540294,,,0.03403875774699592,86.77800325540639,70.8558191852644,47.26635278724272,0.020080764691493797,1.006873404242195,5.0811553061881565,0.01670952521018511,0.10449181692309029,0.1384920388298457,0.12615542299286545,0.7958228582353057,0.6968412261341488,0.06708563933773884,0.763548776750145,0.03539299806040679,0.9427401011418343
